date,close,volume,open,high,low
2019/04/13,56.42,12909685,56.2,56.49,55.84
2019/04/12,56.42,12639630,56.21,56.49,55.84
2019/04/11,55.8,10807340,55.76,56.07,55.63
2019/04/10,55.75,12841760,55.32,55.86,55.32
2019/04/09,55.32,13204510,55.35,55.43,54.9
2019/04/08,55.68,11751750,55.28,55.74,55.2
2019/04/05,55.6,18919000,55.75,55.95,54.87
2019/04/04,55.92,16421070,55.27,56.14,55.27
2019/04/03,55.48,24439760,55.03,55.99,54.89
2019/04/02,54.36,13507980,54.53,54.8,54.225
2019/04/01,54.51,17216940,54.34,54.57,54.1
2019/03/29,53.7,18568690,53.8,54.04,53.48
2019/03/28,53.11,13479770,53.25,53.44,52.77
2019/03/27,53.16,19185200,53.59,53.86,52.94
2019/03/26,53.44,17709670,53.32,53.77,53.04
2019/03/25,52.78,16638820,52.97,53.545,52.375
2019/03/22,53.26,21329170,54.4,54.615,53.21
2019/03/21,54.64,18715860,53.92,54.99,53.84
2019/03/20,53.82,23330720,54.06,54.4,53.61
2019/03/19,54.17,17045060,54.47,54.645,54
2019/03/18,54.1,15900080,54.42,54.505,53.87
2019/03/15,54.33,46483390,53.68,54.69,53.68
2019/03/14,53.44,26581850,54.3,54.45,53.33
2019/03/13,54.37,25516130,54,54.57,53.65
2019/03/12,53.57,20759890,53.34,53.96,53.175
2019/03/11,53.35,18125150,52.88,53.65,52.57
2019/03/08,52.48,16789600,51.97,52.56,51.7
2019/03/07,52.6,17802960,52.77,52.985,52.36
2019/03/06,52.95,14707390,53.63,53.65,52.94
2019/03/05,53.68,20073560,53.85,53.99,53.11
2019/03/04,53.94,21553130,53.75,54.1,53.205
2019/03/01,53.3,18297780,53.44,53.68,52.89
2019/02/28,52.96,18124460,52.92,53.18,52.81
2019/02/27,53.24,17588260,52.76,53.38,52.51
2019/02/26,53.23,16029950,53.01,53.37,52.91
2019/02/25,53.1,20558900,53.06,53.61,52.86
2019/02/22,52.49,31916620,52.7,52.975,52.055
2019/02/21,51.41,16090480,51.32,51.84,51.21
2019/02/20,51.39,20795430,51.63,51.73,51.06
2019/02/19,51.4,15579990,51.35,51.71,51.34
2019/02/15,51.66,22512380,51.25,51.67,51.09
2019/02/14,50.81,17530450,50.41,51.04,50.35
2019/02/13,50.47,17501310,50.13,50.81,50
2019/02/12,50.01,18039220,49.36,50.14,49.27
2019/02/11,48.77,17998810,49.02,49.32,48.58
2019/02/08,48.84,18848690,48.77,49.02,48.01
2019/02/07,49.23,27807690,49.5,49.85,48.68
2019/02/06,49.9,21642300,49.95,50.64,49.82
2019/02/05,50.01,31577230,49.18,50.7159,49.18
2019/02/04,49.22,20851710,48.62,49.24,48.24
2019/02/01,48.73,37424720,47.06,49.05,47.01
2019/01/31,47.12,41457610,46.7,47.18,46.1
2019/01/30,47.54,26746480,46.68,47.68,46.45
2019/01/29,46.54,20915270,46.78,46.97,46.33
2019/01/28,46.71,35518250,46.13,46.73,46.05
2019/01/25,47.04,86449630,46.85,47.43,45.75
2019/01/24,49.76,49770590,48.7,50.035,48.6
2019/01/23,47.94,18876580,48.41,48.8,47.52
2019/01/22,48.27,25930810,48.96,48.98,47.87
2019/01/18,49.19,29788730,49.11,49.38,48.69
2019/01/17,48.47,17224030,48,48.84,47.905
2019/01/16,48.13,18936240,48.6,48.89,48.08
2019/01/15,48.6,22401790,48.71,49.13,48.44
2019/01/14,48.35,19035810,48.46,48.83,48.3
